X,date,county,state,fips,cases,deaths
218,2020-10-15,Hennepin,Minnesota,27053,29000,891
219,2020-10-16,Hennepin,Minnesota,27053,29240,893
220,2020-10-17,Hennepin,Minnesota,27053,29482,895
221,2020-10-18,Hennepin,Minnesota,27053,29732,897
222,2020-10-19,Hennepin,Minnesota,27053,29987,900
223,2020-10-20,Hennepin,Minnesota,27053,30244,902
224,2020-10-21,Hennepin,Minnesota,27053,30511,905
225,2020-10-22,Hennepin,Minnesota,27053,30784,907
226,2020-10-23,Hennepin,Minnesota,27053,31071,910
227,2020-10-24,Hennepin,Minnesota,27053,31383,912
228,2020-10-25,Hennepin,Minnesota,27053,31707,915
229,2020-10-26,Hennepin,Minnesota,27053,32035,917
230,2020-10-27,Hennepin,Minnesota,27053,32390,920
231,2020-10-28,Hennepin,Minnesota,27053,32785,922
232,2020-10-29,Hennepin,Minnesota,27053,33206,924
233,2020-10-30,Hennepin,Minnesota,27053,33664,927
234,2020-10-31,Hennepin,Minnesota,27053,34152,929
235,2020-11-01,Hennepin,Minnesota,27053,34681,931
236,2020-11-02,Hennepin,Minnesota,27053,35282,933
237,2020-11-03,Hennepin,Minnesota,27053,35918,935
238,2020-11-04,Hennepin,Minnesota,27053,36601,937
239,2020-11-05,Hennepin,Minnesota,27053,37307,940
240,2020-11-06,Hennepin,Minnesota,27053,38052,943
241,2020-11-07,Hennepin,Minnesota,27053,38835,945
242,2020-11-08,Hennepin,Minnesota,27053,39715,948
243,2020-11-09,Hennepin,Minnesota,27053,40632,951
244,2020-11-10,Hennepin,Minnesota,27053,41592,954
245,2020-11-11,Hennepin,Minnesota,27053,42576,957
246,2020-11-12,Hennepin,Minnesota,27053,43559,960
247,2020-11-13,Hennepin,Minnesota,27053,44567,964
248,2020-11-14,Hennepin,Minnesota,27053,45587,968
249,2020-11-15,Hennepin,Minnesota,27053,46596,972
250,2020-11-16,Hennepin,Minnesota,27053,47621,976
251,2020-11-17,Hennepin,Minnesota,27053,48654,981
252,2020-11-18,Hennepin,Minnesota,27053,49736,986
253,2020-11-19,Hennepin,Minnesota,27053,50814,990
254,2020-11-20,Hennepin,Minnesota,27053,51823,995
255,2020-11-21,Hennepin,Minnesota,27053,52763,1000
256,2020-11-22,Hennepin,Minnesota,27053,53748,1005
257,2020-11-23,Hennepin,Minnesota,27053,54781,1009
258,2020-11-24,Hennepin,Minnesota,27053,55827,1014
259,2020-11-25,Hennepin,Minnesota,27053,56857,1018
260,2020-11-26,Hennepin,Minnesota,27053,57874,1023
261,2020-11-27,Hennepin,Minnesota,27053,58899,1028
262,2020-11-28,Hennepin,Minnesota,27053,59926,1033
263,2020-11-29,Hennepin,Minnesota,27053,60957,1038
264,2020-11-30,Hennepin,Minnesota,27053,61994,1044
265,2020-12-01,Hennepin,Minnesota,27053,63009,1049
266,2020-12-02,Hennepin,Minnesota,27053,63987,1055
267,2020-12-03,Hennepin,Minnesota,27053,65032,1061
268,2020-12-04,Hennepin,Minnesota,27053,66066,1068
269,2020-12-05,Hennepin,Minnesota,27053,67026,1075
270,2020-12-06,Hennepin,Minnesota,27053,67902,1083
271,2020-12-07,Hennepin,Minnesota,27053,68744,1092
272,2020-12-08,Hennepin,Minnesota,27053,69590,1101
273,2020-12-09,Hennepin,Minnesota,27053,70404,1110
274,2020-12-10,Hennepin,Minnesota,27053,71163,1118
275,2020-12-11,Hennepin,Minnesota,27053,71878,1127
276,2020-12-12,Hennepin,Minnesota,27053,72541,1136
277,2020-12-13,Hennepin,Minnesota,27053,73158,1146
278,2020-12-14,Hennepin,Minnesota,27053,73729,1156
279,2020-12-15,Hennepin,Minnesota,27053,74285,1166
280,2020-12-16,Hennepin,Minnesota,27053,74802,1176
281,2020-12-17,Hennepin,Minnesota,27053,75295,1185
282,2020-12-18,Hennepin,Minnesota,27053,75762,1194
283,2020-12-19,Hennepin,Minnesota,27053,76168,1202
284,2020-12-20,Hennepin,Minnesota,27053,76553,1210
285,2020-12-21,Hennepin,Minnesota,27053,76938,1218
286,2020-12-22,Hennepin,Minnesota,27053,77300,1226
287,2020-12-23,Hennepin,Minnesota,27053,77642,1233
288,2020-12-24,Hennepin,Minnesota,27053,77976,1240
289,2020-12-25,Hennepin,Minnesota,27053,78306,1246
290,2020-12-26,Hennepin,Minnesota,27053,78600,1252
291,2020-12-27,Hennepin,Minnesota,27053,78888,1258
292,2020-12-28,Hennepin,Minnesota,27053,79192,1264
293,2020-12-29,Hennepin,Minnesota,27053,79516,1270
294,2020-12-30,Hennepin,Minnesota,27053,79843,1276
295,2020-12-31,Hennepin,Minnesota,27053,80180,1281
